| Classe HTML | Présente dans le CSS | Détails |
| .h-12 | ✅ Oui | Définition trouvée |
| .h-16 | ✅ Oui | Définition trouvée |
| .h-2 | ✅ Oui | Définition trouvée |
| .h-20 | ✅ Oui | Définition trouvée |
| .h-24 | ✅ Oui | Définition trouvée |
| .h-48 | ✅ Oui | Définition trouvée |
| .h-5 | ✅ Oui | Définition trouvée |
| .h-6 | ✅ Oui | Définition trouvée |
| .h-64 | ✅ Oui | Définition trouvée |
| .h-8 | ✅ Oui | Définition trouvée |
| .h-80 | ❌ Non | Aucune définition trouvée |
| .h-9 | ✅ Oui | Définition trouvée |
| .h-full | ✅ Oui | Définition trouvée |
| .hero-bg | ✅ Oui | Définition trouvée |
| .hidden | ✅ Oui | Définition trouvée |
| .hover:-translate-y-1.5 | ❌ Non | Aucune définition trouvée |
| .hover:-translate-y-2 | ❌ Non | Aucune définition trouvée |
| .hover:bg-[#946b64] | ❌ Non | Aucune définition trouvée |
| .hover:bg-[#a37b73]/10 | ❌ Non | Aucune définition trouvée |
| .hover:bg-black/10 | ❌ Non | Aucune définition trouvée |
| .hover:bg-gray-800 | ❌ Non | Aucune définition trouvée |
| .hover:bg-green-600 | ❌ Non | Aucune définition trouvée |
| .hover:bg-opacity-90 | ❌ Non | Aucune définition trouvée |
| .hover:bg-white/70 | ❌ Non | Aucune définition trouvée |
| .hover:border-white/30 | ❌ Non | Aucune définition trouvée |
| .hover:brightness-95 | ❌ Non | Aucune définition trouvée |
| .hover:scale-105 | ❌ Non | Aucune définition trouvée |
| .hover:scale-[1.03] | ❌ Non | Aucune définition trouvée |
| .hover:shadow-[0_10px_25px_-5px_rgba(163,123,115,0.2),_0_8px_10px_-6px_rgba(163,123,115,0.2)] | ❌ Non | Aucune définition trouvée |
| .hover:shadow-lg | ❌ Non | Aucune définition trouvée |
| .hover:shadow-xl | ❌ Non | Aucune définition trouvée |
| .hover:text-[#a37b73] | ❌ Non | Aucune définition trouvée |
| .hover:text-custom-accent | ❌ Non | Aucune définition trouvée |
| .hover:text-custom-dark | ❌ Non | Aucune définition trouvée |
| .hover:text-gray-600 | ❌ Non | Aucune définition trouvée |
| .hover:text-gray-800 | ❌ Non | Aucune définition trouvée |
| .hover:text-red-500 | ❌ Non | Aucune définition trouvée |
| .hover:text-white | ❌ Non | Aucune définition trouvée |
| .inline-block | ✅ Oui | Définition trouvée |
| .inline-flex | ❌ Non | Aucune définition trouvée |
| .inset-0 | ✅ Oui | Définition trouvée |
| .instagram | ❌ Non | Aucune définition trouvée |
| .italic | ❌ Non | Aucune définition trouvée |
| .items-center | ✅ Oui | Définition trouvée |
| .justify-between | ✅ Oui | Définition trouvée |
| .justify-center | ✅ Oui | Définition trouvée |
| .justify-end | ✅ Oui | Définition trouvée |
| .justify-start | ✅ Oui | Définition trouvée |
| .leading-relaxed | ✅ Oui | Définition trouvée |
| .leading-tight | ✅ Oui | Définition trouvée |
| .left-0 | ✅ Oui | Définition trouvée |
| .left-1/2 | ✅ Oui | Définition trouvée |
| .lg:flex | ❌ Non | Aucune définition trouvée |
| .lg:gap-16 | ❌ Non | Aucune définition trouvée |
| .lg:grid-cols-3 | ❌ Non | Aucune définition trouvée |
| .lg:hidden | ❌ Non | Aucune définition trouvée |
| .lg:inline-block | ❌ Non | Aucune définition trouvée |
| .lg:px-6 | ❌ Non | Aucune définition trouvée |
| .lg:px-8 | ❌ Non | Aucune définition trouvée |
| .lg:space-x-8 | ❌ Non | Aucune définition trouvée |
| .line-clamp-3 | ✅ Oui | Définition trouvée |
| .linkedin | ❌ Non | Aucune définition trouvée |
| .mail-btn | ❌ Non | Aucune définition trouvée |
| .maps | ❌ Non | Aucune définition trouvée |
| .max-w-3xl | ✅ Oui | Définition trouvée |
| .max-w-5xl | ✅ Oui | Définition trouvée |
| .max-w-6xl | ✅ Oui | Définition trouvée |
| .max-w-full | ✅ Oui | Définition trouvée |
| .max-w-md | ✅ Oui | Définition trouvée |
| .max-w-sm | ✅ Oui | Définition trouvée |
| .max-w-xl | ✅ Oui | Définition trouvée |
| .mb-1 | ✅ Oui | Définition trouvée |
| .mb-2 | ✅ Oui | Définition trouvée |
| .mb-3 | ✅ Oui | Définition trouvée |
| .mb-4 | ✅ Oui | Définition trouvée |
| .mb-6 | ✅ Oui | Définition trouvée |
| .mb-8 | ✅ Oui | Définition trouvée |
| .md:!p-4 | ❌ Non | Aucune définition trouvée |
| .md:!p-6 | ❌ Non | Aucune définition trouvée |
| .md:block | ❌ Non | Aucune définition trouvée |
| .md:flex | ❌ Non | Aucune définition trouvée |
| .md:flex-none | ❌ Non | Aucune définition trouvée |
| .md:flex-row | ❌ Non | Aucune définition trouvée |
| .md:gap-14 | ❌ Non | Aucune définition trouvée |
| .md:gap-16 | ❌ Non | Aucune définition trouvée |
| .md:gap-8 | ❌ Non | Aucune définition trouvée |
| .md:grid-cols-2 | ❌ Non | Aucune définition trouvée |
| .md:grid-cols-3 | ❌ Non | Aucune définition trouvée |
| .md:h-14 | ❌ Non | Aucune définition trouvée |
| .md:h-24 | ❌ Non | Aucune définition trouvée |
| .md:h-80 | ❌ Non | Aucune définition trouvée |
| .md:h-[90vh] | ❌ Non | Aucune définition trouvée |
| .md:h-auto | ❌ Non | Aucune définition trouvée |
| .md:hidden | ❌ Non | Aucune définition trouvée |
| .md:inline | ❌ Non | Aucune définition trouvée |
| .md:inline-block | ❌ Non | Aucune définition trouvée |
| .md:justify-between | ❌ Non | Aucune définition trouvée |
| .md:justify-center | ❌ Non | Aucune définition trouvée |
| .md:justify-start | ❌ Non | Aucune définition trouvée |
| .md:max-w-none | ❌ Non | Aucune définition trouvée |
| .md:mb-10 | ❌ Non | Aucune définition trouvée |
| .md:ml-auto | ❌ Non | Aucune définition trouvée |
| .md:mt-12 | ❌ Non | Aucune définition trouvée |
| .md:mt-16 | ❌ Non | Aucune définition trouvée |
| .md:p-0 | ❌ Non | Aucune définition trouvée |
| .md:p-8 | ❌ Non | Aucune définition trouvée |
| .md:px-4 | ❌ Non | Aucune définition trouvée |
| .md:px-8 | ❌ Non | Aucune définition trouvée |
| .md:py-20 | ❌ Non | Aucune définition trouvée |
| .md:py-3 | ❌ Non | Aucune définition trouvée |
| .md:space-x-4 | ❌ Non | Aucune définition trouvée |
| .md:space-x-8 | ❌ Non | Aucune définition trouvée |
| .md:space-y-0 | ❌ Non | Aucune définition trouvée |
| .md:space-y-5 | ❌ Non | Aucune définition trouvée |
| .md:space-y-6 | ❌ Non | Aucune définition trouvée |
| .md:text-2xl | ❌ Non | Aucune définition trouvée |
| .md:text-3xl | ❌ Non | Aucune définition trouvée |
| .md:text-4xl | ❌ Non | Aucune définition trouvée |
| .md:text-6xl | ❌ Non | Aucune définition trouvée |
| .md:text-7xl | ❌ Non | Aucune définition trouvée |
| .md:text-base | ❌ Non | Aucune définition trouvée |
| .md:text-left | ❌ Non | Aucune définition trouvée |
| .md:text-lg | ❌ Non | Aucune définition trouvée |
| .md:text-sm | ❌ Non | Aucune définition trouvée |
| .md:text-xl | ❌ Non | Aucune définition trouvée |
